#,Product Name,Derived Original Price (GHS),Correct Price (fill in if wrong)
1,"2 Step Mascara (very good)",42.24,
2,"3Q Beauty Magic Lip Oil",21.60,
3,"3piece Claw Clip",34.72,
4,"Advanced Korean Body Lotion",250.00,
5,"Advanced Korean Skin Face Cream",160.00,
6,"Aloe Vera Body Scrub",45.71,
7,"Aloe Vera Gel",70.42,
8,"Alpha Arbutin Body Scrub",91.43,
9,"Anua 10+ Niacinamide Serum",360.29,
10,"Apricot Body Scrub",45.71,
11,"Aqua Rich Body Lotion",155.00,
12,"Argan Oil Hand and Nail Cream",57.86,
13,"Argan Oil Heat Protectant",63.02,
14,"Asepso Acne Care Bar Soap",31.25,
15,"Aveeno Daily Moisturizing Body Mist",220.00,
16,"Avocado Body Scrub",45.71,
17,"Bathroom Set (3 Piece Set)",50.00,
18,"Beauty Formulas 10%Aha+2%Bha(Renewing Serum)",72.00,
19,"Beauty Formulas Brightening Facial Wipes",49.00,
20,"Beauty Formulas Brightening Vitamin C Eye Gel",65.45,
21,"Beauty Formulas Brightening Vitamin C Eye Gel Patches(6 Pairs)",80.00,
22,"Beauty Formulas Brightening Vitamin C Facial Serum(Tube)",90.00,
23,"Beauty Formulas Brightening Vitamin C Facial Toner",90.00,
24,"Beauty Formulas Brightening Vitamin C Moisturiser",62.50,
25,"Beauty Formulas Ceramides Set(4pcs)",250.43,
26,"Beauty Formulas Glowing Serum (Vitamin C)2%",72.00,
27,"Beauty Formulas Hyaluronic Acid Serum(Moisture Serum)",72.00,
28,"Beauty Formulas Niacinamide Serum(Illuminating Serum)",72.00,
29,"Beauty Formulas Oil Control Facial Wash",72.00,
30,"Beauty Formulas Vitamin C Facial Set(6pcs)+Free Facial Mask",272.84,
31,"Big size Claw Clip",25.00,
32,"Bio Oil (200ML)",173.08,
33,"Bioaqua Centella set",333.33,
34,"Bioaqua Rice Raw Pulp Serum",81.67,
35,"Bioaqua Rice Raw Pulp Set (6pcs)",321.43,
36,"Bioaqua Serum Combination Set",163.04,
37,"Brightening Skin care Set(Tumeric and Vitamin C)",170.67,
38,"Brightening Vitamin C Facial Scrub",62.50,
39,"Brightening Vitamin C Facial Wash",62.50,
40,"Brow Sculpting Gel(Brow Gel)",47.06,
41,"Bubble Keyholder Gloss",25.00,
42,"Caviar with Collagen Heat Protectant",80.36,
43,"CeraVe Daily Moisturising Lotion",290.37,
44,"Cetaphil Gentle Foaming Cleanser",158.45,
45,"Cetaphil Gentle Skin Cleanser",292.54,
46,"Cetaphil Moisturizing Lotion",315.79,
47,"Chilly Feminine Wipes",65.45,
48,"Chilly Idratante Feminine Wash (Big Size)",111.11,
49,"Chilly Intima Idratante (Small Size)",85.33,
50,"Chilly Mint Feminine Wash(Small Size)",85.33,
51,"Chilly Mint Feminine Wash(big size)",111.11,
52,"Chilly pH 6.5 Feminine Wash",111.11,
53,"Claw Clip",25.00,
54,"Cluster Lash Set With(Remover,Bond and seal, Tweezer)",144.00,
55,"Cosmetic Mirror",72.00,
56,"Cucumber Body Scrub",45.71,
57,"Detangler Brushes",23.53,
58,"Disaar Snail Mucin Soap(For Face and Body)",72.00,
59,"Dr Rashel 60+ Spf",80.36,
60,"Dr Rashel Charcoal Black Soap",54.35,
61,"Dr Rashel Vitamin C Set",335.00,
62,"Dr Rashel Vitamin C bar soap",50.00,
63,"Dr Rashel Whitening Fade Soap",50.00,
64,"Dr Teals Vitamin C Body Lotion",150.77,
65,"Dr Teals Vitamin C Body Wash",150.77,
66,"Dr Vitamin C Wash and Lotion COMBO",260.00,
67,"EOS Fresh and Cozy Body Wash",262.61,
68,"EOS Vanilla Cashmere Lotion",262.61,
69,"ESTELIN Sun Screen SPF 100(100g)",117.65,
70,"ESTELIN Sun Screen SPF 50– Long-Lasting Sun Protection(50g)",81.67,
71,"ESTELIN Sun Screen SPF 80 – Long-Lasting Sun Protection(100g)",117.65,
72,"Edge Styling Brush Duo",40.83,
73,"Estelin B5 Ceramide Repairing Face Serum",81.67,
74,"Estelin Hyaluronic Acid Face Serum",81.67,
75,"Estelin Multi Defense Tinted Sunscreen SPF 70 (50g)",81.67,
76,"Estelin Rice Collagen Firming Face Serum (30ml)",81.67,
77,"Estelin Salicylic Acid & Tea Tree Oil Face Serum",81.67,
78,"Estelin Toner",86.54,
79,"Estelin Vitamin A Retinol Age-Defying Face Serum",81.67,
80,"Estelin Vitamin C & Turmeric Brightening Face Serum",81.67,
81,"Everyday skincare set for All Skin Types",340.00,
82,"Ezanic 10%Azelaic Acid Cream",148.48,
83,"Ezanic 20% Azelaic Acid Gel",160.71,
84,"Face Facta Ceramide Serum",72.00,
85,"Face Facts Blemish Patches",55.56,
86,"Face Facts Body Lotions",128.57,
87,"Face Facts Ceramide Blemish Clarifying Foaming Cleanser (400ml)",132.25,
88,"Face Facts Ceramide Blemish Gel Moisturizer",72.00,
89,"Face Facts Ceramide Blemish Treatment Gel",72.00,
90,"Face Facts Ceramide Foaming Cleanser (400ml)",121.00,
91,"Face Facts Ceramide Hydrating Gentle Cleanser",91.43,
92,"Face Facts Ceramide Moisturising Gel Cream",72.00,
93,"Face Facts Ceramide Oil Control Foaming Cleanser",132.25,
94,"Face Facts Ceramide Oil Control Set",236.10,
95,"Face Facts Ceramide Repairing Serum Cream",72.00,
96,"Face Facts Collagen Serum",72.00,
97,"Face Facts Hyaluronic Acid Serum",72.00,
98,"Face Facts Lactic Acid Serum",72.00,
99,"Face Facts Niacinamide Serum",72.00,
100,"Face Facts Polypeptide Serum",72.00,
101,"Face Facts Retinol Serum",72.00,
102,"Face Facts Salicylic Serum",72.00,
103,"Face Facts The Routine Step.02 Superberry Radiance Serum",84.50,
104,"Face Facts Vitamin C Serum",72.00,
105,"Face Facts Wonder Cream",130.91,
106,"Face facts 3in1 set serums",146.96,
107,"Fem Fresh Wash",93.75,
108,"Flower Claw Clip(State your colour in the description)",15.00,
109,"Glam and Glory Hair Removal Cream(Lemon/Rose/Aloe Vera)",45.71,
110,"Glow Booster Lightening Oil",121.00,
111,"Hair Fine Mist Spray Bottle",63.02,
112,"Honey Gold Keyholder Lipgloss",25.00,
113,"Hot Comb",173.08,
114,"Huda Katyl Lip oil",14.40,
115,"Jam Rice Milk Soap",22.22,
116,"Jersey Headband (Small Size)",12.50,
117,"Jersey Headbands (Big Size)",18.75,
118,"Jersey Headbands(Medium Size)",14.40,
119,"Jumbo Plus Velvet Bonnet",86.54,
120,"Karité lip oil and balm combo 2-in-1 Lip Care",36.00,
121,"Keyholder Blush",30.00,
122,"Kuu Spa Tumeric Scrub",86.54,
123,"Lip Tint Water Mist",18.00,
124,"Marble 3pcs Claw Clip Set",34.72,
125,"Medix 5.5 Vitamin C+Tumeric Lotion",265.96,
126,"Microfiber Hair Towel",60.50,
127,"Mini straighteners",55.56,
128,"Miss Betty Hydrate Lip Oil",14.40,
129,"Moist Magic Lip Oil",25.00,
130,"Mooyam Collagen Wrapping Overnight Face mask",60.50,
131,"Mooyam Orange Peeling Lotion",86.54,
132,"Mooyam Turmeric & Kojic Cleansing Pads",65.00,
133,"Mouth Spray(Reduced to Clear)",35.00,
134,"Nature Spell Anti-Aging Serum",121.00,
135,"Nature Spell Glow Up Face Cream",130.91,
136,"Nature Spell Niacinamide+1% Zinc Serum",121.00,
